# Summary
Sequence,Total Nucleotides,GC Content (%)
ACTB,1812,55.19

# Nucleotide Composition
Nucleotide,Percentage (%)
A,21.52
T,23.29
C,29.91
G,25.28

# Sliding Window GC Content (window=26, step=2)
Window Start,Window End,GC Content (%)
1,26,84.62
3,28,84.62
5,30,80.77
7,32,76.92
9,34,76.92
11,36,80.77
13,38,76.92
15,40,76.92
17,42,80.77
19,44,73.08
21,46,69.23
23,48,69.23
25,50,65.38
27,52,61.54
29,54,65.38
31,56,69.23
33,58,73.08
35,60,76.92
37,62,73.08
39,64,76.92
41,66,73.08
43,68,69.23
45,70,76.92
47,72,80.77
49,74,80.77
51,76,84.62
53,78,84.62
55,80,80.77
57,82,76.92
59,84,76.92
61,86,69.23
63,88,73.08
65,90,65.38
67,92,65.38
69,94,65.38
71,96,57.69
73,98,50.00
75,100,50.00
77,102,50.00
79,104,53.85
81,106,57.69
83,108,57.69
85,110,53.85
87,112,61.54
89,114,57.69
91,116,61.54
93,118,61.54
95,120,61.54
97,122,69.23
99,124,73.08
101,126,73.08
103,128,73.08
105,130,69.23
107,132,65.38
109,134,65.38
111,136,65.38
113,138,61.54
115,140,65.38
117,142,69.23
119,144,73.08
121,146,69.23
123,148,69.23
125,150,73.08
127,152,73.08
129,154,73.08
131,156,73.08
133,158,73.08
135,160,73.08
137,162,76.92
139,164,80.77
141,166,80.77
143,168,80.77
145,170,80.77
147,172,88.46
149,174,84.62
151,176,76.92
153,178,76.92
155,180,76.92
157,182,76.92
159,184,76.92
161,186,76.92
163,188,73.08
165,190,73.08
167,192,73.08
169,194,73.08
171,196,73.08
173,198,73.08
175,200,73.08
177,202,80.77
179,204,76.92
181,206,73.08
183,208,76.92
185,210,80.77
187,212,80.77
189,214,80.77
191,216,76.92
193,218,73.08
195,220,73.08
197,222,73.08
199,224,65.38
201,226,69.23
203,228,65.38
205,230,65.38
207,232,65.38
209,234,61.54
211,236,57.69
213,238,53.85
215,240,57.69
217,242,53.85
219,244,53.85
221,246,50.00
223,248,50.00
225,250,57.69
227,252,53.85
229,254,53.85
231,256,57.69
233,258,61.54
235,260,61.54
237,262,61.54
239,264,69.23
241,266,61.54
243,268,65.38
245,270,65.38
247,272,69.23
249,274,65.38
251,276,61.54
253,278,61.54
255,280,61.54
257,282,61.54
259,284,57.69
261,286,57.69
263,288,57.69
265,290,50.00
267,292,57.69
269,294,61.54
271,296,57.69
273,298,57.69
275,300,57.69
277,302,57.69
279,304,61.54
281,306,65.38
283,308,57.69
285,310,61.54
287,312,61.54
289,314,61.54
291,316,65.38
293,318,61.54
295,320,57.69
297,322,65.38
299,324,61.54
301,326,61.54
303,328,61.54
305,330,57.69
307,332,53.85
309,334,57.69
311,336,50.00
313,338,46.15
315,340,46.15
317,342,50.00
319,344,50.00
321,346,53.85
323,348,50.00
325,350,50.00
327,352,50.00
329,354,50.00
331,356,46.15
333,358,46.15
335,360,42.31
337,362,46.15
339,364,53.85
341,366,53.85
343,368,53.85
345,370,53.85
347,372,50.00
349,374,53.85
351,376,53.85
353,378,57.69
